num_muestra,opc,LI,LS
1,OPINION_SI,97.6,97.97
1,OPINION_NO,1.47,1.7
1,NULOS,0,2.86
1,PART,6.93,7.28
2,OPINION_SI,97.75,98.02
2,OPINION_NO,1.42,1.61
2,NULOS,0.72,7.6
2,PART,6.86,7.21
3,OPINION_SI,97.69,97.93
3,OPINION_NO,1.47,1.64
3,NULOS,1.46,8.21
3,PART,6.98,7.37
4,OPINION_SI,97.68,98.02
4,OPINION_NO,1.39,1.55
4,NULOS,2.3,9.65
4,PART,6.94,7.39
5,OPINION_SI,97.87,98.1
5,OPINION_NO,1.35,1.5
5,NULOS,1.85,8.91
5,PART,6.93,7.32
6,OPINION_SI,97.75,98.01
6,OPINION_NO,1.44,1.6
6,NULOS,1.1,7.78
6,PART,6.86,7.2
7,OPINION_SI,95.23,98.42
7,OPINION_NO,1.37,1.9
7,NULOS,1.2,7.26
7,PART,6.97,7.46
8,OPINION_SI,97.63,97.98
8,OPINION_NO,1.45,1.6
8,NULOS,2.81,10.73
8,PART,6.96,7.34
9,OPINION_SI,97.83,98.04
9,OPINION_NO,1.44,1.6
9,NULOS,0.93,6.06
9,PART,6.98,7.37
10,OPINION_SI,97.62,97.96
10,OPINION_NO,1.46,1.68
10,NULOS,0.39,5.22
10,PART,6.71,7.03
11,OPINION_SI,97.72,97.94
11,OPINION_NO,1.46,1.6
11,NULOS,2.25,11.17
11,PART,6.88,7.22
12,OPINION_SI,97.58,97.94
12,OPINION_NO,1.45,1.62
12,NULOS,0,3.16
12,PART,6.98,7.37
13,OPINION_SI,95.41,98.57
13,OPINION_NO,1.48,1.74
13,NULOS,0.29,5.78
13,PART,6.94,7.4
14,OPINION_SI,95.67,98.44
14,OPINION_NO,1.44,1.8
14,NULOS,0.38,5.04
14,PART,7,7.49
15,OPINION_SI,97.5,97.91
15,OPINION_NO,1.49,1.65
15,NULOS,0.42,6.12
15,PART,6.75,7.09
16,OPINION_SI,97.68,97.97
16,OPINION_NO,1.45,1.66
16,NULOS,0.69,6.24
16,PART,6.94,7.31
17,OPINION_SI,97.41,97.9
17,OPINION_NO,1.46,1.61
17,NULOS,1.66,8.57
17,PART,6.86,7.19
18,OPINION_SI,97.77,98
18,OPINION_NO,1.46,1.6
18,NULOS,1.62,9.6
18,PART,6.88,7.26
19,OPINION_SI,97.41,98.02
19,OPINION_NO,1.44,1.76
19,NULOS,0.7,6.67
19,PART,7.05,7.43
20,OPINION_SI,97.34,97.96
20,OPINION_NO,1.38,1.81
20,NULOS,3.06,11.59
20,PART,7.08,7.44
21,OPINION_SI,97.64,97.91
21,OPINION_NO,1.47,1.62
21,NULOS,3.99,13.6
21,PART,6.97,7.33
22,OPINION_SI,97.8,98.02
22,OPINION_NO,1.4,1.57
22,NULOS,1.5,8.46
22,PART,6.8,7.15
23,OPINION_SI,97.53,98.11
23,OPINION_NO,1.4,1.61
23,NULOS,0.75,6.54
23,PART,6.91,7.34
24,OPINION_SI,97.69,98.01
24,OPINION_NO,1.45,1.63
24,NULOS,0.32,5.43
24,PART,6.95,7.3
25,OPINION_SI,95.76,98.55
25,OPINION_NO,1.38,1.58
25,NULOS,1.15,7.62
25,PART,6.94,7.42
26,OPINION_SI,97.44,97.97
26,OPINION_NO,1.45,1.91
26,NULOS,1.58,9.06
26,PART,6.71,7.07
27,OPINION_SI,97.69,97.96
27,OPINION_NO,1.51,1.73
27,NULOS,0.65,6.68
27,PART,6.86,7.28
28,OPINION_SI,97.76,98
28,OPINION_NO,1.42,1.58
28,NULOS,1.17,8.27
28,PART,6.91,7.3
29,OPINION_SI,97.47,97.98
29,OPINION_NO,1.46,1.69
29,NULOS,1.69,9.38
29,PART,7,7.45
30,OPINION_SI,97.53,97.96
30,OPINION_NO,1.46,1.68
30,NULOS,2.14,10.21
30,PART,6.95,7.3
31,OPINION_SI,97.69,97.94
31,OPINION_NO,1.46,1.63
31,NULOS,0.16,3.64
31,PART,6.8,7.16
32,OPINION_SI,97.53,98.02
32,OPINION_NO,1.38,1.53
32,NULOS,0.16,4.69
32,PART,6.98,7.36
33,OPINION_SI,97.52,97.94
33,OPINION_NO,1.46,1.75
33,NULOS,0.76,7.01
33,PART,6.92,7.27
34,OPINION_SI,97.83,98.05
34,OPINION_NO,1.42,1.57
34,NULOS,0.64,6.76
34,PART,7.05,7.45
35,OPINION_SI,97.7,97.94
35,OPINION_NO,1.46,1.64
35,NULOS,1.04,6.9
35,PART,7.17,7.65
36,OPINION_SI,97.17,97.87
36,OPINION_NO,1.49,1.87
36,NULOS,1.16,7.31
36,PART,6.96,7.37
37,OPINION_SI,97.24,97.87
37,OPINION_NO,1.46,1.91
37,NULOS,0.45,5.07
37,PART,6.86,7.28
38,OPINION_SI,97.58,97.99
38,OPINION_NO,1.46,1.64
38,NULOS,0.75,6.84
38,PART,7.01,7.39
39,OPINION_SI,97.77,98.04
39,OPINION_NO,1.41,1.58
39,NULOS,0.31,5.46
39,PART,7.03,7.48
40,OPINION_SI,97.41,97.9
40,OPINION_NO,1.46,1.8
40,NULOS,0.25,3.48
40,PART,6.96,7.36
41,OPINION_SI,97.86,98.08
41,OPINION_NO,1.42,1.59
41,NULOS,0.21,6.3
41,PART,6.89,7.29
42,OPINION_SI,95.44,98.59
42,OPINION_NO,1.44,1.67
42,NULOS,1.04,6.89
42,PART,6.97,7.43
43,OPINION_SI,97.59,97.87
43,OPINION_NO,1.5,1.7
43,NULOS,1.21,8.52
43,PART,6.9,7.25
44,OPINION_SI,97.59,97.96
44,OPINION_NO,1.45,1.62
